,gene,cluster
0,A_Gene344_rep1,1
1,B_Gene287_rep2,1
2,B_Gene75_rep1,1
3,A_Gene479_rep2,1
4,B_Gene344_rep2,1
5,B_Gene314_rep2,1
6,A_Gene296_rep2,1
7,A_Gene184_rep2,1
8,A_Gene223_rep1,1
9,B_Gene350_rep3,1
10,A_Gene334_rep2,1
11,A_Gene148_rep2,1
12,A_Gene274_rep1,1
13,B_Gene276_rep3,1
14,B_Gene216_rep1,1
15,A_Gene73_rep1,1
16,A_Gene290_rep1,1
17,B_Gene451_rep1,1
18,B_Gene366_rep1,1
19,B_Gene479_rep2,1
20,A_Gene232_rep2,1
21,A_Gene196_rep2,1
22,A_Gene165_rep2,1
23,A_Gene36_rep2,1
24,B_Gene409_rep1,1
25,B_Gene229_rep2,1
26,B_Gene148_rep2,1
27,B_Gene35_rep3,1
28,B_Gene10_rep1,1
29,A_Gene129_rep1,1
30,B_Gene194_rep3,1
31,B_Gene280_rep3,1
32,A_Gene337_rep3,1
33,B_Gene220_rep3,1
34,B_Gene84_rep1,1
35,A_Gene169_rep2,1
36,A_Gene328_rep1,1
37,B_Gene458_rep1,1
38,A_Gene94_rep1,1
39,B_Gene10_rep2,1
40,B_Gene73_rep2,1
41,A_Gene77_rep2,1
42,B_Gene260_rep3,1
43,B_Gene180_rep1,1
44,A_Gene292_rep1,1
45,A_Gene351_rep2,1
46,A_Gene330_rep3,1
47,A_Gene400_rep1,1
48,A_Gene459_rep3,1
49,A_Gene385_rep2,1
50,A_Gene313_rep2,1
51,A_Gene101_rep1,1
52,A_Gene386_rep2,1
53,A_Gene75_rep3,1
54,B_Gene311_rep1,1
55,B_Gene419_rep1,1
56,B_Gene336_rep1,1
57,B_Gene247_rep3,1
58,A_Gene47_rep1,1
59,A_Gene423_rep1,1
60,A_Gene18_rep3,1
61,A_Gene281_rep3,1
62,A_Gene251_rep1,1
63,B_Gene327_rep2,1
64,A_Gene216_rep2,1
65,B_Gene276_rep1,1
