gene,Cluster
A_Gene344_rep1,DTW-K1-001-DPGP001
B_Gene287_rep2,DTW-K1-001-DPGP002
B_Gene75_rep1,DTW-K1-001-DPGP003
A_Gene479_rep2,DTW-K1-001-DPGP004
B_Gene344_rep2,DTW-K1-001-DPGP001
B_Gene314_rep2,DTW-K1-001-DPGP001
A_Gene296_rep2,DTW-K1-001-DPGP005
A_Gene184_rep2,DTW-K1-001-DPGP006
A_Gene223_rep1,DTW-K1-001-DPGP007
B_Gene350_rep3,DTW-K1-001-DPGP004
A_Gene334_rep2,DTW-K1-001-DPGP006
A_Gene148_rep2,DTW-K1-001-DPGP008
A_Gene274_rep1,DTW-K1-001-DPGP001
B_Gene276_rep3,DTW-K1-001-DPGP009
B_Gene216_rep1,DTW-K1-001-DPGP002
A_Gene73_rep1,DTW-K1-001-DPGP010
A_Gene290_rep1,DTW-K1-001-DPGP006
B_Gene451_rep1,DTW-K1-001-DPGP009
B_Gene366_rep1,DTW-K1-001-DPGP007
B_Gene479_rep2,DTW-K1-001-DPGP004
A_Gene232_rep2,DTW-K1-001-DPGP011
A_Gene196_rep2,DTW-K1-001-DPGP002
A_Gene165_rep2,DTW-K1-001-DPGP006
A_Gene36_rep2,DTW-K1-001-DPGP012
B_Gene409_rep1,DTW-K1-001-DPGP006
B_Gene229_rep2,DTW-K1-001-DPGP013
B_Gene148_rep2,DTW-K1-001-DPGP013
B_Gene35_rep3,DTW-K1-001-DPGP011
B_Gene10_rep1,DTW-K1-001-DPGP003
A_Gene129_rep1,DTW-K1-001-DPGP014
B_Gene194_rep3,DTW-K1-001-DPGP006
B_Gene280_rep3,DTW-K1-001-DPGP006
A_Gene337_rep3,DTW-K1-001-DPGP006
B_Gene220_rep3,DTW-K1-001-DPGP007
B_Gene84_rep1,DTW-K1-001-DPGP002
A_Gene169_rep2,DTW-K1-001-DPGP015
A_Gene328_rep1,DTW-K1-001-DPGP006
B_Gene458_rep1,DTW-K1-001-DPGP009
A_Gene94_rep1,DTW-K1-001-DPGP015
B_Gene10_rep2,DTW-K1-001-DPGP016
B_Gene73_rep2,DTW-K1-001-DPGP016
A_Gene77_rep2,DTW-K1-001-DPGP012
B_Gene260_rep3,DTW-K1-001-DPGP005
B_Gene180_rep1,DTW-K1-001-DPGP003
A_Gene292_rep1,DTW-K1-001-DPGP014
A_Gene351_rep2,DTW-K1-001-DPGP011
A_Gene330_rep3,DTW-K1-001-DPGP017
A_Gene400_rep1,DTW-K1-001-DPGP007
A_Gene459_rep3,DTW-K1-001-DPGP014
A_Gene385_rep2,DTW-K1-001-DPGP001
A_Gene313_rep2,DTW-K1-001-DPGP005
A_Gene101_rep1,DTW-K1-001-DPGP001
A_Gene386_rep2,DTW-K1-001-DPGP016
A_Gene75_rep3,DTW-K1-001-DPGP008
