gene,A_Cluster,B_Cluster,Cluster,Shift,Category
Gene352,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,A_DTW-K1-001-DPGP001_B_DTW-K1-001-DPGP001,0,GroupC
Gene400,DTW-K1-001-DPGP003,DTW-K1-001-DPGP009,A_DTW-K1-001-DPGP003_B_DTW-K1-001-DPGP009,1,GroupC
Gene292,DTW-K1-001-DPGP014,DTW-K1-001-DPGP014,A_DTW-K1-001-DPGP014_B_DTW-K1-001-DPGP014,0,GroupC
Gene124,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,A_DTW-K1-001-DPGP001_B_DTW-K1-001-DPGP001,0,GroupC
Gene481,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,A_DTW-K1-001-DPGP006_B_DTW-K1-001-DPGP006,0,GroupC
Gene334,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,A_DTW-K1-001-DPGP006_B_DTW-K1-001-DPGP006,0,GroupC
Gene271,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,A_DTW-K1-001-DPGP006_B_DTW-K1-001-DPGP006,0,GroupC
Gene463,DTW-K1-001-DPGP001,DTW-K1-001-DPGP020,A_DTW-K1-001-DPGP001_B_DTW-K1-001-DPGP020,1,GroupC
Gene500,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,A_DTW-K1-001-DPGP006_B_DTW-K1-001-DPGP006,0,GroupC
Gene149,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,A_DTW-K1-001-DPGP001_B_DTW-K1-001-DPGP001,0,GroupC
Gene480,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,A_DTW-K1-001-DPGP006_B_DTW-K1-001-DPGP006,0,GroupC
Gene70,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,A_DTW-K1-001-DPGP006_B_DTW-K1-001-DPGP006,0,GroupC
Gene479,DTW-K1-001-DPGP004,DTW-K1-001-DPGP004,A_DTW-K1-001-DPGP004_B_DTW-K1-001-DPGP004,0,GroupC
Gene440,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,A_DTW-K1-001-DPGP006_B_DTW-K1-001-DPGP006,0,GroupC
Gene184,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,A_DTW-K1-001-DPGP006_B_DTW-K1-001-DPGP006,0,GroupC
Gene409,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,A_DTW-K1-001-DPGP006_B_DTW-K1-001-DPGP006,0,GroupC
Gene183,DTW-K1-001-DPGP016,DTW-K1-001-DPGP003,A_DTW-K1-001-DPGP016_B_DTW-K1-001-DPGP003,1,GroupC
Gene376,DTW-K1-001-DPGP016,DTW-K1-001-DPGP014,A_DTW-K1-001-DPGP016_B_DTW-K1-001-DPGP014,1,GroupC
Gene180,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,A_DTW-K1-001-DPGP006_B_DTW-K1-001-DPGP006,0,GroupC
Gene165,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,A_DTW-K1-001-DPGP006_B_DTW-K1-001-DPGP006,0,GroupC
Gene361,DTW-K1-001-DPGP016,DTW-K1-001-DPGP014,A_DTW-K1-001-DPGP016_B_DTW-K1-001-DPGP014,1,GroupC
Gene191,DTW-K1-001-DPGP005,DTW-K1-001-DPGP019,A_DTW-K1-001-DPGP005_B_DTW-K1-001-DPGP019,1,GroupC
Gene10,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,A_DTW-K1-001-DPGP001_B_DTW-K1-001-DPGP001,0,GroupC
Gene235,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,A_DTW-K1-001-DPGP006_B_DTW-K1-001-DPGP006,0,GroupC
Gene472,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,A_DTW-K1-001-DPGP001_B_DTW-K1-001-DPGP001,0,GroupC
Gene277,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,A_DTW-K1-001-DPGP006_B_DTW-K1-001-DPGP006,0,GroupC
