,gene,rep1,rep2,rep3,consist_num,Final_Cluster
0,B_Gene96,DTW-K1-001-DPGP016,DTW-K1-001-DPGP006,DTW-K1-001-DPGP001,1,
1,B_Gene223,DTW-K1-001-DPGP008,DTW-K1-001-DPGP016,DTW-K1-001-DPGP014,1,
2,B_Gene336,DTW-K1-001-DPGP013,DTW-K1-001-DPGP009,DTW-K1-001-DPGP018,1,
3,A_Gene411,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,DTW-K1-001-DPGP009,2,DTW-K1-001-DPGP006
4,B_Gene437,DTW-K1-001-DPGP017,DTW-K1-001-DPGP011,DTW-K1-001-DPGP019,1,
5,B_Gene176,DTW-K1-001-DPGP012,DTW-K1-001-DPGP006,DTW-K1-001-DPGP011,1,
6,B_Gene164,DTW-K1-001-DPGP006,DTW-K1-001-DPGP016,DTW-K1-001-DPGP003,1,
7,B_Gene126,DTW-K1-001-DPGP003,DTW-K1-001-DPGP001,DTW-K1-001-DPGP005,1,
8,A_Gene358,DTW-K1-001-DPGP016,DTW-K1-001-DPGP015,DTW-K1-001-DPGP013,1,
9,B_Gene216,DTW-K1-001-DPGP002,DTW-K1-001-DPGP005,DTW-K1-001-DPGP004,1,
10,A_Gene437,DTW-K1-001-DPGP014,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,2,DTW-K1-001-DPGP001
11,A_Gene105,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,3,DTW-K1-001-DPGP001
12,B_Gene482,DTW-K1-001-DPGP005,DTW-K1-001-DPGP004,DTW-K1-001-DPGP018,1,
13,B_Gene333,DTW-K1-001-DPGP011,DTW-K1-001-DPGP007,DTW-K1-001-DPGP012,1,
14,A_Gene474,DTW-K1-001-DPGP014,DTW-K1-001-DPGP002,DTW-K1-001-DPGP004,1,
15,B_Gene420,DTW-K1-001-DPGP015,DTW-K1-001-DPGP001,DTW-K1-001-DPGP004,1,
16,A_Gene75,DTW-K1-001-DPGP006,DTW-K1-001-DPGP002,DTW-K1-001-DPGP008,1,
17,B_Gene285,DTW-K1-001-DPGP014,DTW-K1-001-DPGP010,DTW-K1-001-DPGP009,1,
18,B_Gene194,DTW-K1-001-DPGP009,DTW-K1-001-DPGP019,DTW-K1-001-DPGP006,1,
19,A_Gene486,DTW-K1-001-DPGP008,DTW-K1-001-DPGP008,DTW-K1-001-DPGP008,3,DTW-K1-001-DPGP008
20,A_Gene45,DTW-K1-001-DPGP006,DTW-K1-001-DPGP010,DTW-K1-001-DPGP010,2,DTW-K1-001-DPGP010
21,A_Gene10,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,DTW-K1-001-DPGP006,2,DTW-K1-001-DPGP001
22,A_Gene148,DTW-K1-001-DPGP010,DTW-K1-001-DPGP008,DTW-K1-001-DPGP003,1,
23,B_Gene258,DTW-K1-001-DPGP016,DTW-K1-001-DPGP014,DTW-K1-001-DPGP001,1,
24,A_Gene471,DTW-K1-001-DPGP006,DTW-K1-001-DPGP007,DTW-K1-001-DPGP006,2,DTW-K1-001-DPGP006
25,A_Gene12,DTW-K1-001-DPGP006,DTW-K1-001-DPGP015,DTW-K1-001-DPGP008,1,
26,B_Gene287,DTW-K1-001-DPGP012,DTW-K1-001-DPGP002,DTW-K1-001-DPGP006,1,
27,A_Gene251,DTW-K1-001-DPGP009,DTW-K1-001-DPGP010,DTW-K1-001-DPGP006,1,
28,B_Gene410,DTW-K1-001-DPGP015,DTW-K1-001-DPGP006,DTW-K1-001-DPGP015,2,DTW-K1-001-DPGP015
29,B_Gene121,DTW-K1-001-DPGP004,DTW-K1-001-DPGP011,DTW-K1-001-DPGP006,1,
30,A_Gene399,DTW-K1-001-DPGP006,DTW-K1-001-DPGP002,DTW-K1-001-DPGP010,1,
31,A_Gene297,DTW-K1-001-DPGP006,DTW-K1-001-DPGP009,DTW-K1-001-DPGP006,2,DTW-K1-001-DPGP006
32,A_Gene27,DTW-K1-001-DPGP006,DTW-K1-001-DPGP019,DTW-K1-001-DPGP001,1,
